inst#,actual,predicted,error,prediction
1,1:?,1:N,,0.872
2,1:?,1:N,,0.608
3,1:?,1:N,,0.677
4,1:?,1:N,,0.912
5,1:?,2:Y,,0.624
6,1:?,1:N,,0.889
7,1:?,2:Y,,0.791
8,1:?,1:N,,0.746
9,1:?,2:Y,,0.752
10,1:?,1:N,,0.87
11,1:?,1:N,,0.765
12,1:?,1:N,,0.737
13,1:?,2:Y,,0.92
14,1:?,1:N,,0.833
15,1:?,2:Y,,0.942
16,1:?,2:Y,,0.76
17,1:?,1:N,,0.812
18,1:?,1:N,,0.769
19,1:?,2:Y,,0.533
20,1:?,2:Y,,0.689
21,1:?,1:N,,0.823
22,1:?,1:N,,0.663
23,1:?,2:Y,,0.891
24,1:?,1:N,,0.53
25,1:?,2:Y,,0.912
26,1:?,1:N,,0.848
27,1:?,2:Y,,0.973
28,1:?,1:N,,0.905
29,1:?,1:N,,0.514
30,1:?,1:N,,0.741
31,1:?,1:N,,0.929
32,1:?,1:N,,0.848
33,1:?,2:Y,,0.53
34,1:?,1:N,,0.527
35,1:?,1:N,,0.71
36,1:?,1:N,,0.918
37,1:?,2:Y,,0.685
38,1:?,1:N,,0.561
39,1:?,1:N,,0.885
40,1:?,1:N,,0.636
41,1:?,1:N,,0.56
42,1:?,1:N,,0.88
43,1:?,1:N,,0.84
44,1:?,2:Y,,0.98
45,1:?,2:Y,,0.912
46,1:?,1:N,,0.764
47,1:?,1:N,,0.807
48,1:?,1:N,,0.973
49,1:?,2:Y,,0.852
50,1:?,2:Y,,0.565
51,1:?,1:N,,0.817
52,1:?,1:N,,0.772
53,1:?,2:Y,,0.72
54,1:?,2:Y,,0.77
55,1:?,1:N,,0.871
56,1:?,1:N,,0.905
57,1:?,1:N,,0.781
58,1:?,1:N,,0.697
59,1:?,1:N,,0.931
60,1:?,2:Y,,0.898
61,1:?,1:N,,0.773
62,1:?,1:N,,0.913
63,1:?,1:N,,0.871
64,1:?,2:Y,,0.748
65,1:?,1:N,,0.534
66,1:?,2:Y,,0.902
67,1:?,2:Y,,0.743
68,1:?,1:N,,0.844
69,1:?,1:N,,0.836
70,1:?,2:Y,,0.81
71,1:?,2:Y,,0.773
72,1:?,1:N,,0.824
73,1:?,2:Y,,0.601
74,1:?,1:N,,0.817
75,1:?,2:Y,,0.908
76,1:?,1:N,,0.897
77,1:?,1:N,,0.881
78,1:?,2:Y,,0.83
79,1:?,1:N,,1
80,1:?,2:Y,,0.756
81,1:?,2:Y,,0.846
82,1:?,1:N,,0.858
83,1:?,1:N,,0.887
84,1:?,1:N,,0.897
85,1:?,1:N,,0.896
86,1:?,1:N,,0.658
87,1:?,2:Y,,0.731
88,1:?,2:Y,,0.755
89,1:?,2:Y,,0.748
90,1:?,2:Y,,0.95
91,1:?,2:Y,,0.527
92,1:?,1:N,,0.955
93,1:?,2:Y,,0.78
94,1:?,1:N,,0.887
95,1:?,1:N,,0.696
96,1:?,1:N,,0.92
97,1:?,2:Y,,0.973
98,1:?,1:N,,0.955
99,1:?,2:Y,,0.686
100,1:?,1:N,,0.902
101,1:?,2:Y,,1
102,1:?,1:N,,0.906
103,1:?,1:N,,0.978
104,1:?,1:N,,0.931
105,1:?,1:N,,0.573
106,1:?,1:N,,0.899
107,1:?,1:N,,0.98
108,1:?,1:N,,0.991
109,1:?,1:N,,0.773
110,1:?,1:N,,0.981
111,1:?,1:N,,0.776
112,1:?,1:N,,0.519
113,1:?,2:Y,,0.79
114,1:?,1:N,,0.582
115,1:?,2:Y,,0.94
116,1:?,1:N,,0.563
117,1:?,1:N,,0.968
118,1:?,2:Y,,0.771
119,1:?,1:N,,0.693
120,1:?,2:Y,,0.92
121,1:?,2:Y,,0.776
122,1:?,1:N,,0.947
123,1:?,2:Y,,1
124,1:?,1:N,,0.599
125,1:?,1:N,,0.981
126,1:?,2:Y,,0.522
127,1:?,1:N,,0.868
128,1:?,2:Y,,0.9
129,1:?,1:N,,0.711
130,1:?,1:N,,0.802
131,1:?,1:N,,0.88
132,1:?,1:N,,0.877
133,1:?,1:N,,0.591
134,1:?,1:N,,0.888
135,1:?,1:N,,0.893
136,1:?,1:N,,0.93
137,1:?,1:N,,0.977
138,1:?,1:N,,0.927
139,1:?,2:Y,,0.664
140,1:?,1:N,,0.94
141,1:?,1:N,,0.804
142,1:?,2:Y,,0.99
143,1:?,1:N,,0.839
144,1:?,1:N,,0.946
145,1:?,1:N,,0.874
146,1:?,1:N,,0.921
147,1:?,1:N,,0.865
148,1:?,1:N,,0.842
149,1:?,1:N,,0.841
150,1:?,1:N,,0.88
151,1:?,2:Y,,0.99
