PassengerId,Pclass=1,Pclass=2,Pclass=3,Sex=female,Age,SibSp,Parch,Fare,Embarked=S,Embarked=C,Embarked=Q,Survived
1,0,0,1,0,22,1,0,7.25,1,0,0,N
2,1,0,0,1,38,1,0,71.2833,0,1,0,Y
3,0,0,1,1,26,0,0,7.925,1,0,0,Y
4,1,0,0,1,35,1,0,53.1,1,0,0,Y
5,0,0,1,0,35,0,0,8.05,1,0,0,N
6,0,0,1,0,?,0,0,8.4583,0,0,1,N
7,1,0,0,0,54,0,0,51.8625,1,0,0,N
8,0,0,1,0,2,3,1,21.075,1,0,0,N
9,0,0,1,1,27,0,2,11.1333,1,0,0,Y
10,0,1,0,1,14,1,0,30.0708,0,1,0,Y
11,0,0,1,1,4,1,1,16.7,1,0,0,Y
12,1,0,0,1,58,0,0,26.55,1,0,0,Y
13,0,0,1,0,20,0,0,8.05,1,0,0,N
14,0,0,1,0,39,1,5,31.275,1,0,0,N
15,0,0,1,1,14,0,0,7.8542,1,0,0,N
16,0,1,0,1,55,0,0,16,1,0,0,Y
17,0,0,1,0,2,4,1,29.125,0,0,1,N
18,0,1,0,0,?,0,0,13,1,0,0,Y
19,0,0,1,1,31,1,0,18,1,0,0,N
20,0,0,1,1,?,0,0,7.225,0,1,0,Y
21,0,1,0,0,35,0,0,26,1,0,0,N
22,0,1,0,0,34,0,0,13,1,0,0,Y
23,0,0,1,1,15,0,0,8.0292,0,0,1,Y
24,1,0,0,0,28,0,0,35.5,1,0,0,Y
25,0,0,1,1,8,3,1,21.075,1,0,0,N
26,0,0,1,1,38,1,5,31.3875,1,0,0,Y
27,0,0,1,0,?,0,0,7.225,0,1,0,N
28,1,0,0,0,19,3,2,263,1,0,0,N
29,0,0,1,1,?,0,0,7.8792,0,0,1,Y
30,0,0,1,0,?,0,0,7.8958,1,0,0,N
31,1,0,0,0,40,0,0,27.7208,0,1,0,N
32,1,0,0,1,?,1,0,146.5208,0,1,0,Y
33,0,0,1,1,?,0,0,7.75,0,0,1,Y
34,0,1,0,0,66,0,0,10.5,1,0,0,N
35,1,0,0,0,28,1,0,82.1708,0,1,0,N
36,1,0,0,0,42,1,0,52,1,0,0,N
37,0,0,1,0,?,0,0,7.2292,0,1,0,Y
38,0,0,1,0,21,0,0,8.05,1,0,0,N
39,0,0,1,1,18,2,0,18,1,0,0,N
40,0,0,1,1,14,1,0,11.2417,0,1,0,Y
41,0,0,1,1,40,1,0,9.475,1,0,0,N
42,0,1,0,1,27,1,0,21,1,0,0,N
43,0,0,1,0,?,0,0,7.8958,0,1,0,N
44,0,1,0,1,3,1,2,41.5792,0,1,0,Y
45,0,0,1,1,19,0,0,7.8792,0,0,1,Y
46,0,0,1,0,?,0,0,8.05,1,0,0,N
47,0,0,1,0,?,1,0,15.5,0,0,1,N
48,0,0,1,1,?,0,0,7.75,0,0,1,Y
49,0,0,1,0,?,2,0,21.6792,0,1,0,N
50,0,0,1,1,18,1,0,17.8,1,0,0,N
51,0,0,1,0,7,4,1,39.6875,1,0,0,N
52,0,0,1,0,21,0,0,7.8,1,0,0,N
53,1,0,0,1,49,1,0,76.7292,0,1,0,Y
54,0,1,0,1,29,1,0,26,1,0,0,Y
55,1,0,0,0,65,0,1,61.9792,0,1,0,N
56,1,0,0,0,?,0,0,35.5,1,0,0,Y
57,0,1,0,1,21,0,0,10.5,1,0,0,Y
58,0,0,1,0,28.5,0,0,7.2292,0,1,0,N
59,0,1,0,1,5,1,2,27.75,1,0,0,Y
60,0,0,1,0,11,5,2,46.9,1,0,0,N
61,0,0,1,0,22,0,0,7.2292,0,1,0,N
62,1,0,0,1,38,0,0,80,?,?,?,Y
63,1,0,0,0,45,1,0,83.475,1,0,0,N
64,0,0,1,0,4,3,2,27.9,1,0,0,N
65,1,0,0,0,?,0,0,27.7208,0,1,0,N
66,0,0,1,0,?,1,1,15.2458,0,1,0,Y
67,0,1,0,1,29,0,0,10.5,1,0,0,Y
68,0,0,1,0,19,0,0,8.1583,1,0,0,N
69,0,0,1,1,17,4,2,7.925,1,0,0,Y
70,0,0,1,0,26,2,0,8.6625,1,0,0,N
71,0,1,0,0,32,0,0,10.5,1,0,0,N
72,0,0,1,1,16,5,2,46.9,1,0,0,N
73,0,1,0,0,21,0,0,73.5,1,0,0,N
74,0,0,1,0,26,1,0,14.4542,0,1,0,N
75,0,0,1,0,32,0,0,56.4958,1,0,0,Y
76,0,0,1,0,25,0,0,7.65,1,0,0,N
77,0,0,1,0,?,0,0,7.8958,1,0,0,N
