PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
1,3,male,22,1,0,7.25,S,N
2,1,female,38,1,0,71.2833,C,Y
3,3,female,26,0,0,7.925,S,Y
4,1,female,35,1,0,53.1,S,Y
5,3,male,35,0,0,8.05,S,N
6,3,male,?,0,0,8.4583,Q,N
7,1,male,54,0,0,51.8625,S,N
8,3,male,2,3,1,21.075,S,N
9,3,female,27,0,2,11.1333,S,Y
10,2,female,14,1,0,30.0708,C,Y
11,3,female,4,1,1,16.7,S,Y
12,1,female,58,0,0,26.55,S,Y
13,3,male,20,0,0,8.05,S,N
14,3,male,39,1,5,31.275,S,N
15,3,female,14,0,0,7.8542,S,N
16,2,female,55,0,0,16,S,Y
17,3,male,2,4,1,29.125,Q,N
18,2,male,?,0,0,13,S,Y
19,3,female,31,1,0,18,S,N
20,3,female,?,0,0,7.225,C,Y
21,2,male,35,0,0,26,S,N
22,2,male,34,0,0,13,S,Y
23,3,female,15,0,0,8.0292,Q,Y
24,1,male,28,0,0,35.5,S,Y
25,3,female,8,3,1,21.075,S,N
26,3,female,38,1,5,31.3875,S,Y
27,3,male,?,0,0,7.225,C,N
28,1,male,19,3,2,263,S,N
29,3,female,?,0,0,7.8792,Q,Y
30,3,male,?,0,0,7.8958,S,N
31,1,male,40,0,0,27.7208,C,N
32,1,female,?,1,0,146.5208,C,Y
33,3,female,?,0,0,7.75,Q,Y
34,2,male,66,0,0,10.5,S,N
35,1,male,28,1,0,82.1708,C,N
36,1,male,42,1,0,52,S,N
37,3,male,?,0,0,7.2292,C,Y
38,3,male,21,0,0,8.05,S,N
39,3,female,18,2,0,18,S,N
40,3,female,14,1,0,11.2417,C,Y
41,3,female,40,1,0,9.475,S,N
42,2,female,27,1,0,21,S,N
43,3,male,?,0,0,7.8958,C,N
44,2,female,3,1,2,41.5792,C,Y
45,3,female,19,0,0,7.8792,Q,Y
46,3,male,?,0,0,8.05,S,N
47,3,male,?,1,0,15.5,Q,N
48,3,female,?,0,0,7.75,Q,Y
49,3,male,?,2,0,21.6792,C,N
50,3,female,18,1,0,17.8,S,N
51,3,male,7,4,1,39.6875,S,N
52,3,male,21,0,0,7.8,S,N
53,1,female,49,1,0,76.7292,C,Y
54,2,female,29,1,0,26,S,Y
55,1,male,65,0,1,61.9792,C,N
56,1,male,?,0,0,35.5,S,Y
57,2,female,21,0,0,10.5,S,Y
58,3,male,28.5,0,0,7.2292,C,N
59,2,female,5,1,2,27.75,S,Y
60,3,male,11,5,2,46.9,S,N
61,3,male,22,0,0,7.2292,C,N
62,1,female,38,0,0,80,?,Y
63,1,male,45,1,0,83.475,S,N
64,3,male,4,3,2,27.9,S,N
65,1,male,?,0,0,27.7208,C,N
66,3,male,?,1,1,15.2458,C,Y
67,2,female,29,0,0,10.5,S,Y
68,3,male,19,0,0,8.1583,S,N
69,3,female,17,4,2,7.925,S,Y
70,3,male,26,2,0,8.6625,S,N
71,2,male,32,0,0,10.5,S,N
72,3,female,16,5,2,46.9,S,N
73,2,male,21,0,0,73.5,S,N
74,3,male,26,1,0,14.4542,C,N
75,3,male,32,0,0,56.4958,S,Y
76,3,male,25,0,0,7.65,S,N
77,3,male,?,0,0,7.8958,S,N
78,3,male,?,0,0,8.05,S,N
79,2,male,0.83,0,2,29,S,Y
80,3,female,30,0,0,12.475,S,Y
81,3,male,22,0,0,9,S,N
82,3,male,29,0,0,9.5,S,Y
83,3,female,?,0,0,7.7875,Q,Y
84,1,male,28,0,0,47.1,S,N
85,2,female,17,0,0,10.5,S,Y
86,3,female,33,3,0,15.85,S,Y
87,3,male,16,1,3,34.375,S,N
88,3,male,?,0,0,8.05,S,N
89,1,female,23,3,2,263,S,Y
90,3,male,24,0,0,8.05,S,N
91,3,male,29,0,0,8.05,S,N
92,3,male,20,0,0,7.8542,S,N
93,1,male,46,1,0,61.175,S,N
94,3,male,26,1,2,20.575,S,N
95,3,male,59,0,0,7.25,S,N
96,3,male,?,0,0,8.05,S,N
97,1,male,71,0,0,34.6542,C,N
98,1,male,23,0,1,63.3583,C,Y
99,2,female,34,0,1,23,S,Y
100,2,male,34,1,0,26,S,N
101,3,female,28,0,0,7.8958,S,N
102,3,male,?,0,0,7.8958,S,N
103,1,male,21,0,1,77.2875,S,N
104,3,male,33,0,0,8.6542,S,N
105,3,male,37,2,0,7.925,S,N
106,3,male,28,0,0,7.8958,S,N
107,3,female,21,0,0,7.65,S,Y
108,3,male,?,0,0,7.775,S,Y
109,3,male,38,0,0,7.8958,S,N
110,3,female,?,1,0,24.15,Q,Y
111,1,male,47,0,0,52,S,N
112,3,female,14.5,1,0,14.4542,C,N
113,3,male,22,0,0,8.05,S,N
114,3,female,20,1,0,9.825,S,N
115,3,female,17,0,0,14.4583,C,N
116,3,male,21,0,0,7.925,S,N
117,3,male,70.5,0,0,7.75,Q,N
118,2,male,29,1,0,21,S,N
119,1,male,24,0,1,247.5208,C,N
120,3,female,2,4,2,31.275,S,N
121,2,male,21,2,0,73.5,S,N
122,3,male,?,0,0,8.05,S,N
123,2,male,32.5,1,0,30.0708,C,N
124,2,female,32.5,0,0,13,S,Y
125,1,male,54,0,1,77.2875,S,N
126,3,male,12,1,0,11.2417,C,Y
127,3,male,?,0,0,7.75,Q,N
128,3,male,24,0,0,7.1417,S,Y
129,3,female,?,1,1,22.3583,C,Y
130,3,male,45,0,0,6.975,S,N
131,3,male,33,0,0,7.8958,C,N
132,3,male,20,0,0,7.05,S,N
133,3,female,47,1,0,14.5,S,N
134,2,female,29,1,0,26,S,Y
135,2,male,25,0,0,13,S,N
136,2,male,23,0,0,15.0458,C,N
137,1,female,19,0,2,26.2833,S,Y
138,1,male,37,1,0,53.1,S,N
139,3,male,16,0,0,9.2167,S,N
140,1,male,24,0,0,79.2,C,N
141,3,female,?,0,2,15.2458,C,N
142,3,female,22,0,0,7.75,S,Y
143,3,female,24,1,0,15.85,S,Y
144,3,male,19,0,0,6.75,Q,N
145,2,male,18,0,0,11.5,S,N
146,2,male,19,1,1,36.75,S,N
147,3,male,27,0,0,7.7958,S,Y
148,3,female,9,2,2,34.375,S,N
149,2,male,36.5,0,2,26,S,N
150,2,male,42,0,0,13,S,N
151,2,male,51,0,0,12.525,S,N
152,1,female,22,1,0,66.6,S,Y
153,3,male,55.5,0,0,8.05,S,N
154,3,male,40.5,0,2,14.5,S,N
155,3,male,?,0,0,7.3125,S,N
156,1,male,51,0,1,61.3792,C,N
157,3,female,16,0,0,7.7333,Q,Y
158,3,male,30,0,0,8.05,S,N
159,3,male,?,0,0,8.6625,S,N
160,3,male,?,8,2,69.55,S,N
161,3,male,44,0,1,16.1,S,N
162,2,female,40,0,0,15.75,S,Y
163,3,male,26,0,0,7.775,S,N
164,3,male,17,0,0,8.6625,S,N
165,3,male,1,4,1,39.6875,S,N
166,3,male,9,0,2,20.525,S,Y
167,1,female,?,0,1,55,S,Y
168,3,female,45,1,4,27.9,S,N
169,1,male,?,0,0,25.925,S,N
170,3,male,28,0,0,56.4958,S,N
171,1,male,61,0,0,33.5,S,N
172,3,male,4,4,1,29.125,Q,N
173,3,female,1,1,1,11.1333,S,Y
174,3,male,21,0,0,7.925,S,N
175,1,male,56,0,0,30.6958,C,N
176,3,male,18,1,1,7.8542,S,N
177,3,male,?,3,1,25.4667,S,N
178,1,female,50,0,0,28.7125,C,N
179,2,male,30,0,0,13,S,N
180,3,male,36,0,0,0,S,N
181,3,female,?,8,2,69.55,S,N
182,2,male,?,0,0,15.05,C,N
183,3,male,9,4,2,31.3875,S,N
184,2,male,1,2,1,39,S,Y
185,3,female,4,0,2,22.025,S,Y
186,1,male,?,0,0,50,S,N
187,3,female,?,1,0,15.5,Q,Y
188,1,male,45,0,0,26.55,S,Y
189,3,male,40,1,1,15.5,Q,N
190,3,male,36,0,0,7.8958,S,N
191,2,female,32,0,0,13,S,Y
192,2,male,19,0,0,13,S,N
193,3,female,19,1,0,7.8542,S,Y
194,2,male,3,1,1,26,S,Y
195,1,female,44,0,0,27.7208,C,Y
196,1,female,58,0,0,146.5208,C,Y
197,3,male,?,0,0,7.75,Q,N
198,3,male,42,0,1,8.4042,S,N
199,3,female,?,0,0,7.75,Q,Y
200,2,female,24,0,0,13,S,N
201,3,male,28,0,0,9.5,S,N
202,3,male,?,8,2,69.55,S,N
203,3,male,34,0,0,6.4958,S,N
204,3,male,45.5,0,0,7.225,C,N
205,3,male,18,0,0,8.05,S,Y
206,3,female,2,0,1,10.4625,S,N
207,3,male,32,1,0,15.85,S,N
208,3,male,26,0,0,18.7875,C,Y
209,3,female,16,0,0,7.75,Q,Y
210,1,male,40,0,0,31,C,Y
211,3,male,24,0,0,7.05,S,N
212,2,female,35,0,0,21,S,Y
213,3,male,22,0,0,7.25,S,N
214,2,male,30,0,0,13,S,N
